XMX,Throughput(%),Latency(Max GC pause time)(s),Application runtime,FULL GC,GC,RandomForest,KNeighbors,DecisionTree,MLP,Ensemble
8600,3.8007570510515913,2.904172,228.122,143,219,93.10344827586206,78.3410138248848,92.62672811059907,38.70967741935484,93.08755760368663
8700,3.389855401911817,2.945326,259.547,158,233,96.81528662420382,79.91452991452992,89.74358974358975,38.88888888888889,91.02564102564102
8800,10.539786217716056,3.022298,85.414,65,215,98.21428571428571,71.42857142857143,85.71428571428571,21.428571428571427,88.69047619047619
8900,9.77347167448454,3.004504,91.031,69,234,93.44262295081968,75.69060773480662,93.92265193370166,21.54696132596685,88.39779005524862
9000,3.4053551427862203,3.0526060000000004,266.062,158,217,96.0,80.44444444444444,92.88888888888889,44.44444444444444,92.44444444444444
9100,6.831407842845437,3.146087,134.39,84,184,97.22222222222221,70.0,93.125,31.874999999999996,92.5
9200,4.129654553204617,3.07456,220.526,128,218,96.40287769784173,75.36231884057972,86.95652173913044,39.61352657004831,88.40579710144928
9300,3.7179476426092606,3.112267,259.906,147,191,95.58823529411765,76.23762376237624,94.55445544554455,43.06930693069307,93.06930693069307
9400,4.2591044583581095,3.138553,217.053,125,221,96.40287769784173,80.67632850241546,91.30434782608695,36.71497584541063,86.47342995169082
9500,8.156753318956817,3.1979960000000003,118.712,79,216,97.45762711864407,72.31638418079096,92.65536723163842,27.11864406779661,92.65536723163842
9600,3.4864483304944685,3.232431,268.882,153,229,96.73202614379085,82.53275109170306,94.32314410480349,39.737991266375545,93.44978165938865
9700,4.169851973972712,3.276191,228.068,130,201,93.98496240601504,77.77777777777779,92.92929292929293,37.878787878787875,91.91919191919192
9800,9.740460628990276,3.403404,105.725,71,203,94.54545454545455,70.73170731707317,90.85365853658537,26.82926829268293,88.41463414634147
9900,4.140910863760468,3.2819830000000003,233.317,129,253,94.11764705882352,78.60262008733623,93.01310043668121,33.18777292576419,95.19650655021834
10000,6.430973615141994,3.38235,151.261,92,226,96.09375,77.36842105263158,92.10526315789474,28.421052631578945,86.31578947368422
10100,6.80087927206354,3.416129,146.826,89,204,97.45762711864407,69.14285714285714,89.14285714285714,29.142857142857142,88.57142857142857
10200,4.245351051620389,3.4475830000000003,237.871,130,250,96.05263157894737,78.94736842105263,93.42105263157895,35.96491228070175,92.54385964912281
