XMX,Throughput(%),Latency(Max GC pause time)(s),Application runtime,FULL GC,GC,RandomForest,KNeighbors,DecisionTree,MLP,Ensemble
9100,13.911952790708597,8.554548,85.068,33,15,75.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
9200,12.095120125229698,8.950220999999999,102.851,35,15,66.66666666666666,66.66666666666666,86.66666666666667,66.66666666666666,83.33333333333334
9300,14.085518638293948,8.632997,86.891,33,15,70.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
9400,12.88681964934102,9.242558,109.337,35,15,66.66666666666666,66.66666666666666,83.33333333333334,66.66666666666666,80.0
9500,14.525169566499557,8.8209,88.166,33,15,75.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
9600,14.228576702352584,8.426881,89.391,33,15,85.0,75.86206896551724,93.10344827586206,75.86206896551724,82.75862068965517
9700,14.665762670402728,8.606736999999999,89.934,33,15,90.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
9800,10.812021665246476,9.578524,102.099,34,15,70.0,70.0,93.33333333333333,70.0,86.66666666666667
9900,10.745482799061747,9.619879999999998,102.32,34,15,85.0,70.0,86.66666666666667,70.0,76.66666666666667
10000,11.106024845947232,9.705546,101.264,34,15,80.0,70.0,93.33333333333333,70.0,86.66666666666667
10100,10.90580354564878,9.794768,103.902,34,15,80.0,70.0,86.66666666666667,70.0,76.66666666666667
10200,10.827576837031543,9.899582,104.149,34,15,85.0,70.0,93.33333333333333,70.0,90.0
10300,10.962105052659638,10.017177,105.014,34,15,85.0,70.0,90.0,70.0,86.66666666666667
